search_term,name,country,officers
ConocoPhillips,Conocophillips Developments Limited,gb,"{""Angela Sarah Helen Fletcher"",""David Grimshaw"",""Edith Jeannie Stirrup"",""Robert Hendry Anderson"",""Christopher William Conway"",""Andrew David Richard Hastings"",""David Eric Chenier"",""Derryl Lynn Collins"",""Thomas Edward Cook"",""Frank Lawrence Gannon"",""Carol Ferne Graebner"",""Adrian Derek Glendon Hill"",""David Stewart Ogilvie"",""Robert Edward Pelzer"",""Michael Philip Stokeld"",""Elaine June Ward"",""Roger Lee Abel"",""William Silver Atkinson"",""Ian Blood"",""David Paul Bolen"",""Derry Lynn Collins"",""Derryl Lynn Collins"",""Archie Wallace Dunham"",""Gisle Eriksen"",""David Andrew, Vivian Farthing"",""Todd William Fredin"",""Frank Lawrence Gannon"",""Christopher Gautrey"",""Gregory James Goff"",""Malcolm David Griffiths"",""Jean-Francois Jacques Basile Pepin"",""Michael Don Wright"",""Derryl Lynn Collins"",""Robert Edward Pelzer"",""Malcolm David Griffiths""}"
ConocoPhillips,Conocophillips (Glen) Limited,gb,"{""David Grimshaw"",""Edith Jeannie Stirrup"",""Robert Hendry Anderson"",""Andrew David Richard Hastings"",""Paul Cyril Warwick"",""David Eric Chenier"",""David Stewart Ogilvie"",""Michael Philip Stokeld"",""Elaine June Ward"",""Glen Yorke Spence Bishop"",""David Paul Bolen"",""Gisle Eriksen"",""Todd William Fredin"",""Christopher Gautrey"",""Andrew Roy Halliwell"",""Archibald Wood Kennedy"",""Page Frank Maxson"",""James Deas Mcmorran"",""Roger Stephen Ramshaw"",""Arild Skjervoy"",""George Edward Watkins"",""Jean-Francois Jacques Basile Pepin"",""Michael Don Wright"",""Andrew Roy Halliwell"","" Combined Secretarial Services Limited"","" Combined Nominees Limited"","" Combined Secretarial Services Limited""}"
ConocoPhillips,Conocophillips Holdings Limited,gb,"{""Angela Sarah Helen Fletcher"",""David Grimshaw"",""Edith Jeannie Stirrup"",""Robert Hendry Anderson"",""Christopher William Conway"",""Christopher Gautrey"",""Andrew David Richard Hastings"",""Nicholas David Allen"",""David Eric Chenier"",""Derryl Lynn Collins"",""Thomas Edward Cook"",""David Stewart Ogilvie"",""Robert Edward Pelzer"",""Michael Philip Stokeld"",""Elaine June Ward"",""John William Ward"",""David Paul Bolen"",""Derryl Lynn Collins"",""Thomas Edward Cook"",""Gisle Eriksen"",""Todd William Fredin"",""Michael Robert Fretwell"",""Gregory James Goff"",""Malcolm David Griffiths"",""Andrew Roy Halliwell"",""William Ricky Hamm"",""Robert Joseph Hassler"",""Robert Alan Herman"",""David Oliver Kem"",""Archibald Wood Kennedy"",""John Robert Kerr"",""Thomas Clifford Knudson"",""Jean-Francois Jacques Basile Pepin"",""Michael Don Wright"",""Andrew Roy Halliwell""}"
ConocoPhillips,Conocophillips Investments Limited,gb,"{""David Grimshaw"",""Edith Jeannie Stirrup"",""Robert Hendry Anderson"",""Andrew David Richard Hastings"",""David Eric Chenier"",""Derryl Lynn Collins"",""Thomas Edward Cook"",""James David Dinnage"",""Frank Lawrence Gannon"",""Carol Ferne Graebner"",""Adrian Derek Glendon Hill"",""Janice Kathleen Mary Leiper"",""Robert Edward Pelzer"",""Elaine June Ward"",""William Silver Atkinson"",""Todd William Fredin"",""Christopher Gautrey"",""Andrew Roy Halliwell"",""Gilbert Harrison Holland"",""Robert Earl Irelan"",""Archibald Wood Kennedy"",""John Robert Kerr"",""Page Frank Maxson"",""Miles Claren Mays"",""Gary Lynn Mclaughlin"",""James Deas Mcmorran"",""Roger Stephen Ramshaw"",""Derryl Lynn Collins"",""Thomas Edward Cook"",""Frank Lawrence Gannon"",""Robert Edward Pelzer"",""Jean-Francois Jacques Basile Pepin"",""Michael Don Wright"",""Derryl Lynn Collins"",""Andrew Roy Halliwell""}"
Conoil,"Conoil Drilling Programs, Inc.",us_ny,{}
Conoil,"Conoil Exploration, Inc.",us_ny,{}
Conoil,"Conoil International, Incorporated",us_ny,{}
Conoil,Conoil Oy,fi,{}
Conoil,Conoil Sl,es,{}
Coogee,Coogee Ltd,gb,"{""Steven Paul Shelley"",""Steven Paul Shelley""}"
Coogee,Coogee (Liverpool) Limited,gb,"{""Anastasia Lunt"",""Lee Raymond Lunt""}"
Coogee,Coogee Nursery School Limited,gb,"{""Edward John Medina"",""Edward John Medina"",""Jane Rosemary Medina"","" Swift Incorporations Limited""}"
Coogee,Coogee Bay Limited,je,{}
Coogee,Coogee Bay Ltd.,bb,{}
DPI,Dpi,nl,{}
DPI,Dpi,be,{}
DPI,D.P.I.,be,{}
DPI,Dpi 21 Limited,gb,"{""Michael Peter Cain"",""Michael Peter Cain"",""Samuel John Fletcher"",""Stephen John Taylor""}"
DPI,Dpi & B Holdings Limited,gb,"{""Stephanie Margaret Darley"",""Phillip George Ioannou"",""Faye Melissa Parker""}"
Devon Energy,Devon Energy Assessments Ltd,gb,{}
Devon Energy,Devon Energy Partnership Limited,gb,{}
Devon Energy,"Devon Energy Congo, Ltd.",bs,{}
Diamond Offshore,Diamond Offshore Drilling (Uk) Limited.,gb,"{""Stephen Glenn Elwood"",""George Creighton Cole Henderson"",""William Charles Long"",""Jimmy Ray Moore"",""Richard Lee Lionberger"",""Lawrence Richard Dickerson"",""Ronald Leon James"",""Ronald Charles Johnson"",""Gary Thomas Krenek"",""Jerry Ray Owens"",""Jon Lawhon Richards"",""Robert Ernest Rose"",""Charles Duncan Weir"",""David Wendall Williams"",""William Charles Long"",""Richard Lee Lionberger"","" Maclay Murray & Spens Llp"","" Eps Secretaries Limited"","" Mikjon Limited""}"
Diamond Offshore,Diamond Offshore Enterprises Limited,gb,"{""Stephen Glenn Elwood"",""George Creighton Cole Henderson"",""William Charles Long"",""Limor Gonen"",""Jimmy Ray Moore"",""John Lawhon Richards"","" Maclay Murray & Spens Llp"","" Whale Rock Secretaries Limited"","" Whale Rock Directors Limited""}"
Diamond Offshore,Diamond Offshore Limited,gb,"{""Stephen Glenn Elwood"",""George Creighton Cole Henderson"",""William Charles Long"",""Jimmy Ray Moore"",""Lawrence Richard Dickerson"",""Richard Lee Lionberger"",""Ronald Leon James"",""Ronald Charles Johnson"",""Gary Thomas Krenek"",""Robert Murdo Macleod"",""Kenneth William Mcalpine"",""Jerry Ray Owens"",""John Lawhon Richards"",""Robert Ernest Rose"",""Charles Duncan Weir"",""David Wendall Williams"",""William Charles Long"",""Lawrence Richard Dickerson"",""Richard Lee Lionberger"",""Richard Lee Lionberger"",""Terence Waldorf"","" Maclay Murray & Spens Llp"","" Eps Secretaries Limited""}"
Diamond Offshore,Diamond Offshore (Bermuda) Limited,bm,{}
Diamond Offshore,"Diamond Offshore Contract Services, S.A.",pa,{}
Discovery Offshore S.A.,Discovery Offshore S.A.,lu,{}
Discovery Offshore S.A.,Discovery Offshore Holdings No.2 Limited,gb,"{""Ian Leonard Slonim""}"
Discovery Offshore S.A.,Discovery Offshore (Gibraltar) Limited,gi,{}
Discovery Offshore S.A.,Discovery Offshore (Gibraltar) Limited,in,{}
Dolphin Drilling,Dolphin Drilling Limited,gb,"{""Ivar Brandvold"",""Johan Finnestad"",""Iain Petrie Mitchell"",""John Joseph Houston"",""Andrew Gregor Forbes"",""Graeme Scott Murray"",""David Andrew Crawford"",""Jeremy Dowler"",""William Alan Hunter"",""Robert Simon Legget"",""Leif Olav Aaker"",""Chadwick James Byrd"",""Helge Haakonsen"",""Derek Hayes"",""Bjorn Johansen"",""Peir Johansson"",""Per Johansson"",""Anette Sofie Olsen"",""Jon Gunnar Solli"",""John Andrew Sydness"",""Mark Stuart Timmons"",""John Cameron Wallace"",""Richard Overall Wilson"",""John Joseph Houston"",""David Andrew Crawford"",""Robert Simon Legget"",""Helge Haakonsen""}"
Dolphin Drilling,Dolphin Drilling Operations Limited,gb,"{""John Joseph Houston"",""Jorn Johansen"",""James David Lomax"",""Iain Petrie Mitchell"",""Graeme Scott Murray"",""John Joseph Houston"","" Inlaw Secretaries Limited""}"
Dolphin Drilling,Dolphin Drilling As,no,{}
Dolphin Drilling,Dolphin Drilling Company,us_la,{}
Dolphin Drilling,Dolphin Drilling Malta Ltd,mt,{}
Dryships,Dryships Inc.,us_ny,{}
Dryships,Dryships Bulk Carriers Limited,gb,"{""Shabu Oriparambil Velappan""}"
ENSCO,Ensco 1003 Limited,gb,"{""Michael James Ward"","" Gateley Secretaries Limited"","" Gateley Incorporations Limited""}"
ENSCO,Ensco 1004 Limited,gb,"{""Michael James Ward"","" Gateley Secretaries Limited"","" Gateley Incorporations Limited""}"
ENSCO,Ensco 1005 Limited,gb,"{""Michael James Ward"","" Gateley Secretaries Limited"","" Gateley Incorporations Limited""}"
ENSCO,Ensco 1007 Limited,gb,"{""Michael James Ward"","" Gateley Secretaries Limited"","" Gateley Incorporations Limited""}"
ENSCO,Ensco 1008 Limited,gb,"{""Michael James Ward"","" Gateley Secretaries Limited"","" Gateley Incorporations Limited""}"
Emas,Emas,za,{}
Emas,Emas,be,{}
Emas,Emas Business Consultants Limited,gb,"{""Geoffrey Morris"",""Dennis William Harrison Ashton"",""Geoffrey Morris"",""Charles Stuart Rostron"",""Gerald William E Clements"",""Ruth Margaret Morris"",""Peter Robin Schroeder"",""Dolf Nico Swaan""}"
Emas,Emas Limited,gb,"{""Joo Choo Puah"",""Joo Choo Puah"",""Yong Huat Puah"","" Chettleburgh International Limited""}"
Emas,Emas Pharma Limited,gb,"{""Emma Katherine Austin"",""Elizabeth Kennerley"",""Peter Mark Kennerley"",""Kyriacos Antoniou"",""Michelle Dolley"",""Peter Mark Kennerley"",""Timothy Herbert Ball"",""Yiannos Cassoulides"",""Geoffrey Ian Hiskett"",""Mark Jones"",""Mary Elizabeth Kennerley"",""Nicos Nicolaou"",""Pavlos Savvides"",""Peter Mark Kennerley""}"
Esso,Esso,ca_qc,{}
Esso,Esso,sg,{}
Esso,Esso Exploration And Production Uk Limited,gb,"{""Andrew Terence Clarke"",""Russell Grant Bellis"",""Linda Dorcheus Ducharme"",""Jonathan Selzer"",""Fiona Harness"",""Kevin Thomas Biddle"",""Bradley William Corson"",""David Leonard Norwood"",""Julian Peter Benedict Armstrong"",""John Nicholas Boydell"",""Antony Neil Booker Brown"",""Charles Cawley"",""Michael Frederick Westlake"",""James Alcock"",""David Clayman"",""Ansel Lynn Condray"",""Philip John Dingle"",""Archibald William Forster"",""Robert Stuart Franklin"",""Michael James Fry"",""John Vincent Genova"",""Michael Scott Giblin"",""Richard Fambro Guerrant"",""Brian Hamilton"",""Roberta Ann Luxbacher"",""Robert Courtney Olsen"",""Stephen Beasley Linnard Penrose"",""Richard Allen Rosenberg"",""Steven C Spancake"",""John Hamilton Steele"",""Andrew Porter Swiger"",""Keith Henry Taylor"",""John Paul Chaplin"",""Stacey Elisabeth Weltmer"",""Robert Michael Cooper""}"
Esso,Esso H Design Ltd,gb,{}
Esso,Esso Ag,be,{}
Exmar,Exmar,be,{}
Exmar,Exmar Excalibur Shipping Company Limited,gb,"{""James David Dishman"",""Patrick De Brabandere"",""Peter Evensen"",""Geir Arvid Sekkesaeter"",""Rodney Hyne-Jones"",""Lynn Chapman"",""John Andrew Costain"",""Patrick Joseph Rodgers"",""Marc Saverys"",""Nicholas Georges Marie Saverys"",""James David Dishman"",""David William Wong"",""Rodney Hyne-Jones"","" Swift Incorporations Limited""}"
Exmar,Exmar (Uk) Shipping Company Limited,gb,"{""James David Dishman"",""Patrick De Brabandere"",""James David Dishman"",""Rodney Hyne-Jones"",""Patrick Joseph Rodgers"",""Nicholas Georges Marie Saverys"",""Michel Bernard Philippe Moreau"",""Francois Eugene Arradon"",""Nicolas Barnaud"",""Marie-Laure Breard"",""Olivier Cauro"",""Lynn Chapman"",""John Andrew Costain"",""Maximilien De Zarobe"",""Cara Michaela Maria Goretta Larkin"",""Patrick Molis"",""Michel Bernard Philippe Moreau"",""William Padman"",""Marc Saverys"",""Einar Michael Steimler"",""Philippe Marie Charles Elizabeth Corneille Waterkeyn""}"
FPS Ocean,Fps Ocean As,no,{}
FVSB,Fvsb Inc.,us_ny,{}
Fred Olsen Energy,Fred Olsen Energy Asa,no,{}
Fred.Olsen,Fred Olsen,no,{}
Fred.Olsen,Fred Olsen,no,{}
Fred.Olsen,Fred Olsen,no,{}
Fred.Olsen,Fred. Olsen Cruise Lines Limited,gb,"{""Jeremy Dowler"",""Per Oscar Lund"",""Anette Sofie Olsen"",""Thomas Fredrik Olsen Junior"",""Michael Howard Rodwell"",""Ove Johan Solem"",""Robert Simon Legget"",""Harald Ivar Andresen"",""Stein Bergby"",""Paul Michael Brigginshaw"",""Fridthjov Haavardsson"",""Derek Hayes"",""Marten Lunde"",""Thomas Fredrik Olsen"",""Jan Peter Valheim"",""John Cameron Wallace"",""Jeremy Dowler"",""Robert Simon Legget""}"
Fred.Olsen,Fred. Olsen Freight Limited,gb,"{""Christopher Raine"",""Neil Sidney Darby"",""Jeremy Dowler"",""James Richard De Villeneuve Kidwell"",""Quentin Bruce Soanes"",""Malcolm Stafford"",""John David Van Bergen"",""Robert Simon Legget"",""Alfred Henry Reeves"",""James Hamilton Bell"",""Paul Michael Brigginshaw"",""Declan Sean Connolly"",""Derek Hayes"",""Robert Simon Legget"",""Ian Mackenzie"",""Anette Sofie Olsen"",""Alfred Henry Reeves"",""Shaun Alan Rudduck"",""Arne Sandersen"",""Christopher Versey"",""John Cameron Wallace"",""Martyn Paul Ward""}"
Fred.Olsen Production,Fred. Olsen Production Asa,no,{}
Fred.Olsen Production,Fred. Olsen Production Pte. Ltd.,sg,{}
GGPC,Ggpc Inc.,us_ca,{}
GGPC,"G.G.P.C., Inc.",us_ny,{}
GGPC,"Ggpc Export, Inc.",us_fl,"{""Jose Paret"",""Jose Paret"",""Jose Paret"",""Augusto Corral"",""Augusto Corral"",""Guido Gonzalez"",""Juan C Guerrero"",""Augusto Corral""}"
GGPC,Ggpc Properties Llc,us_fl,"{""Gary I Goldstein"",""Pierre Cazassus"",""James E Loveridge"",""Linda Mesq Smith""}"
GSP,G.S.P.,be,{}
GSP,Gsp 1973 Limited,gb,{}
GSP,Gsp Associates Limited,gb,"{""Shirley Janet Paulson"",""George Allison Paulson""}"
GSP,Gsp Builders Limited,gb,"{""Yvonne Margaret Potter"",""Gary Steven Potter"","" Hcs Secretarial Limited"","" Hanover Directors Limited""}"
GSP,Gsp Business Services Ltd,gb,{}
Hercules Offshore,Hercules Offshore Uk Limited,gb,"{""Claus Erik Feyling""}"
Hercules Offshore,Hercules Offshore Holdings Ltd,bs,{}
Hercules Offshore,"Hercules Offshore, Inc. (Singapore Branch)",sg,{}
Hercules Offshore,Hercules Offshore Liftboat Company Llc,us_de,{}
Hercules Offshore,Hercules Offshore Corporation,us_la,"{""Thomas J. Seward"",""Thomas E. Hord"",""Don P. Rodney"",""C T Corporation System""}"
Hess Corp.,Hess Corporation,us_pa,{}
Hess Corp.,Hess Corporation,us_me,{}
Hess Corp.,Hess Corporation (The),us_id,"{""Adam Hess""}"
Hess Corp.,Hess Corporation,us_ok,{}
Hess Corp.,Hess Corporation,us_ok,{}
Ikdam,Ikdam Aktiebolag,se,{}
Ikdam,Ikdam Investments Limited,gi,{}
Ikdam,Ikdam Inc.,us_wa,"{""Prabhjot Singh"",""Jasmit Kochhar"",""Jasmit Kochhar""}"
Jasper Offshore,Jasper Offshore Drilling Pte. Ltd.,sg,{}
KCA Deutag,Kca Deutag Alpha Ii Limited,gb,"{""Louise Andrew"",""Alexander Defelice"",""John Combothekras Halsted"",""Patrick Hunt Hickey"",""Alexander Knaster"",""Ted S Lodge"",""Norman Andrew Mckay"",""Selahattin Zoralioglu"",""Neil John Hartley"",""Edward Todd Bialas"",""Joseph Robert Edwards"",""Robert Keith Ellis"",""Neil John Hartley"",""Christopher John Hughes"",""Markku Juhani Lonnqvist"",""Peter John Milne"",""Nicole Frances Monir"",""Keith James Pringle"",""Alan Schwartz"",""Timothy David Summers"",""Mark Benedict Wesker"",""Dean Edward John Merritt"",""Robert Keith Ellis"",""Lynne Thomson"",""Neil Porteous Gilchrist"","" Trusec Limited"","" Trusec Limited"","" Trusec Limited""}"
KCA Deutag,Kca Deutag Alpha Limited,gb,"{""Louise Andrew"",""Alexander Defelice"",""John Combothekras Halsted"",""Patrick Hunt Hickey"",""Alexander Knaster"",""Ted S Lodge"",""Norman Andrew Mckay"",""Selahattin Zoralioglu"",""Alan Schwartz"",""Edward Todd Bialas"",""Joseph Robert Edwards"",""Robert Keith Ellis"",""Neil John Hartley"",""Christopher John Hughes"",""Markku Juhani Lonnqvist"",""Rebecca Jane Lyne"",""Peter John Milne"",""Nicole Frances Monir"",""Keith James Pringle"",""Alan Schwartz"",""Timothy David Summers"",""Dean Edward John Merritt"",""Robert Keith Ellis"",""Lynne Thomson"",""Neil Porteous Gilchrist"","" Trusec Limited"","" Trusec Limited"","" Trusec Limited""}"
KCA Deutag,Kca Deutag Caspian Limited,gb,"{""Louise Andrew"",""Ian Mackenzie"",""Neil Graham Stevenson"",""Brian Christopher Taylor"",""Mark Johnstone Walker"",""Daniel Mathias Wiest"",""Louise Andrew"",""Alec William James Banyard"",""Peter John Milne"",""Nigel Francis Courtenay Walker"",""Paul Anthony Bews"",""Stephen John Chisholm"",""Graham Cowperthwaite"",""Alasdair James Dougall Locke"",""Michael Alexander Mcdowell"",""Peter John Milne"",""Peter David Hardwick Nichols"",""Michael John Lawrence Salter"",""Nigel Francis Courtenay Walker"",""Maurice Alistair White"",""Manuchehr Zare Aghbolagh"",""Neil Porteous Gilchrist"",""Neil Graham Stevenson"",""Lynne Thomson"",""Gary Neil Paver""}"
KCA Deutag,Kca Deutag Drilling Group Limited,gb,"{""Louise Andrew"",""Ian Mackenzie"",""Ross Richardson"",""Neil Graham Stevenson"",""Brian Christopher Taylor"",""Holger Temmen"",""Mark Johnstone Walker"",""Louise Andrew"",""Alan Bigman"",""Norman Andrew Mckay"",""Alec William James Banyard"",""Peter John Milne"",""Nigel Francis Courtenay Walker"",""Paul Anthony Bews"",""Arne Blystad"",""Thomas Blystad"",""Wilhelm Pihl Blystad"",""Claus Chur"",""Graham Cowperthwaite"",""Peter Dybwad Gram"",""Guy Delemere Lafferty"",""Ian Lane"",""Paul Blacklock Lloyd"",""Alasdair James Dougall Locke"",""Michael Alexander Mcdowell"",""Peter John Milne"",""Geoffrey Mark Philipps"",""Christopher John Rose"",""Michael John Lawrence Salter"",""Christopher Anthony Eric Thomas Stevenson"",""Neil Porteous Gilchrist"",""Neil Graham Stevenson"",""Lynne Thomson"",""Gary Neil Paver""}"
KCA Deutag,Kca Deutag Enterprises Limited,gb,"{""Louise Andrew"",""Louise Andrew"",""Neil Graham Stevenson"",""Mark Johnstone Walker"",""Alec Wiliam James Banyard"",""Peter John Milne"",""Maurice Alistair White"",""Daniel Mathias Wiest"",""Gary Neil Paver"",""Lynne Thomson""}"
Kerr McGee,Kerr-Mcgee Anadarko Foundation,us_ok,{}
Kerr McGee,Kerr-Mcgee Angola Ltd.,bs,{}
Kerr McGee,Kerr-Mcgee Anton Ltd,bs,{}
Kerr McGee,Kerr-Mcgee Bahamas Ltd.,bs,{}
Kerr McGee,Kerr-Mcgee Benin Ltd.,bs,{}
Lundin Petroleum,Lundin Petroleum B.V.,nl,{}
Lundin Petroleum,Lundin Petroleum Holdings Limited,bm,{}
Lundin Petroleum,Lundin Petroleum Canada Inc.,ca,"{""John H. Craig""}"
MISC,Misc,nl,{}
MISC,Misc,se,{}
MISC,Misc.,sg,{}
MISC,Misc,be,{}
MISC,Misc 2468 Limited,gb,"{""Steven James Clark"",""Stephen Geoffrey Siggs"",""Marc Eric Clark"",""Steven James Clark"",""Sandra Ford"",""Robert George Boreham"",""Geraldine Clark"",""David Harkness Ford"",""Sandra Ford"",""Simon Holmes"",""Brian Robert Wiggins"","" Same-Day Company Services Limited"","" Wildman & Battell Limited""}"
MODEC,Modec,za,{}
MODEC,Modec,nl,{}
MODEC,Modec Fine Arts Limited,gb,"{""Andrew Martin Wynn"",""Andrew Mitchell"",""Andrew Martin Wynn"",""Ann Mitchell"",""Joan Walsh"",""William Greg Bennett"",""Ann Mitchell"",""David Gerald Thomasson"",""Joan Walsh"",""Lesley Joanne Elliott""}"
MODEC,Modec Limited,gb,"{""Paul Shaw"",""Jamie Borwick"",""Graham Richard William Gillespie"",""Christopher Francis Thorneycroft-Smith"",""Jevon Thurston Thorpe"",""George Anthony Guy"",""Richard Hindle"",""Colin Stuart Mills"",""Kevin Thomas Morley"",""Trevor Ashley Power"",""Richard Charles Tarapchak"",""Christopher Raymond Wolfe"","" Shoosmiths Secretaries Limited"","" Shoosmiths Directors Limited""}"
MODEC,Modec Property Ltd,gb,"{""Abbas Mosawi"",""Ali Reza Mosawi""}"
Maersk,Maersk Broker (Uk) Limited,gb,"{""John Kilby"",""Jonathan David Ames Bond"",""Lars Erik Brenoe"",""Anders Hald"",""Jorn Steen Nielsen"",""Patricia Ann Thornton"",""Thomas Thune Andersen"",""Ulrik Brandt"",""Hans Peter Glipman"",""Michael Frederic Hassing"",""Flemming Robert Jacobs"",""Carsten Mortensen"",""Per Flemming Staehr"",""Keith Trevor Taylor"",""Bjarne Wium"",""John Kilby"",""Patricia Ann Thornton"",""Henrik Franck"",""Ulrik Brandt"",""Anders Hald"",""Michael Madsen"",""Niels Jorgen Iversen""}"
Maersk,Maersk Company Limited(The),gb,"{""John Kilby"",""Sune Norup Christensen"",""Terence Eric Cornick"",""Mark Malone"",""Desmond Paul Hedges"",""Patricia Ann Thornton"",""Petyer Ronnest Andersen"",""Thomas Thune Andersen"",""John William Baker"",""Nicholas Charles Faithorn Barber"",""Ulrik Brandt"",""George Jeffrey Bull"",""Tage Benedikt Bundgaard"",""James George Thomas Burridge"",""Bjarne Hansen"",""Michael Frederic Hassing"",""Michiel Van Hemert"",""Flemming Edvard Ipsen"",""Flemming Robert Jacobs"",""Juan Herbert Kelly"",""Robert Hugh Molesworth Kindersley Dl"",""Jesper Kjaedegaard"",""Christian Kledal"",""Eivind Drachmann Kolding"",""Ib Kruse"",""Alexander Badenoch Marshall"",""Tommy Bro Molgaard"",""Arnold Maersk Mc-Kinney Moller"",""John Kilby"",""David Jeffrey Harris"",""Marianne Sorensen Henriksen"",""Casper Munch"",""Thomas Thune Andersen"",""Nigel Edmund Lehmann-Taylor"",""Abraham Van Zelm""}"
Maersk,Maersk Crewing Limited,gb,"{""John Kilby"",""Terence Eric Cornick"",""Nigel Edmund Lehmann-Taylor"",""Patricia Ann Thornton"",""Carsten Plougmann Andersen"",""Thomas Thune Andersen"",""Ulrik Brandt"",""Lars Vang Christensen"",""Christopher Dawes"",""Thomas Joseph Graves"",""Michael Frederic Hassing"",""Flemming Robert Jacobs"",""Ronny Karlsson"",""Susan Jennifer Moore"",""Leif Kristian Nielsen"",""Per Flemming Staehr"",""Graham Westgarth"",""Robert Thomas Arthur Willock"",""John Kilby"",""Patricia Ann Thornton"",""David Jeffrey Harris"",""John Kilby""}"
Maersk,Maersk Drilling Uk Limited,gb,"{""John Kilby"",""Menno Bosma"",""Claus Michael Valentin Hemmingsen"",""David Mclean"",""Jorgen Schaeffer"",""John Kilby"",""Jorn Peter Madsen"",""Jens Einar Opstad Berge""}"
Maersk,Maersk Energy Uk Ltd.,gb,"{""Nicola Jane Macleod"",""Kenneth Murdoch"",""Kurt Norman Nielson"",""Martin Rune Pedersen"",""Harry Yorston"",""Glenn Andrew Corr"",""Kevin John Manser"",""Brian William Hemming"",""John Kilby"",""Troels Albrechtsen"",""Thomas Thune Andersen"",""John William Baker"",""Nicholas Charles Faithorn Barber"",""Jep Brink"",""Michael Engell Jensen"",""Alan James Grant"",""Jesper Kjaedegaard"",""Thomas Van Leenen"",""Martin Peter Naesby"",""James Roderic Mary O'Sullivan"",""Nigel Simon Pusey"",""Soren Thorup Sorensen"",""David Edward Spring"",""Kerst Klaas Troost"",""George Edward Watkins"",""Robert Bouke Peters"",""Jep Brink"",""Alan James Grant"",""Graham Stuart Talbot"",""Gretchen Hauser Watkins"","" Alnery Incorporations No 1 Limited"","" Alnery Incorporations No 1 Limited"","" Alnery Incorporations No 2 Limited""}"
Maersk Drilling,Maersk Drilling Uk Limited,gb,"{""John Kilby"",""Menno Bosma"",""Claus Michael Valentin Hemmingsen"",""David Mclean"",""Jorgen Schaeffer"",""John Kilby"",""Jorn Peter Madsen"",""Jens Einar Opstad Berge""}"
Maersk Drilling,Maersk Drilling A/S,dk,{}
Maersk Drilling,Maersk Drilling Americas A/S,dk,{}
Maersk Drilling,Maersk Drilling Caspian Sea A/S,dk,{}
Maersk Drilling,Maersk Drilling Deepwater A/S,dk,{}
Marathon,Marathon,be,{}
Marathon,Marathon,be,{}
Marathon,Marathon,be,{}
Marathon,Marathon 2011 Co Ltd,gb,"{""Chrysaphis Michael"",""Sevket Boyraz"",""Yusuf Boyraz""}"
Marathon,Marathon 2012 Limited,gb,"{""Jenifer Eales"",""Paul John Eales"","" Waterlow Secretaries Limited"","" Waterlow Nominees Limited""}"
